,villes,latitude,longitude,jour,météo,temperature
0,Mont Saint Michel,48.6359541,-1.511459954959514,1,few clouds,23.33
1,Mont Saint Michel,48.6359541,-1.511459954959514,2,broken clouds,22.54
2,Mont Saint Michel,48.6359541,-1.511459954959514,3,scattered clouds,26.39
3,Mont Saint Michel,48.6359541,-1.511459954959514,4,broken clouds,28.46
4,Mont Saint Michel,48.6359541,-1.511459954959514,5,light rain,20.65
5,Mont Saint Michel,48.6359541,-1.511459954959514,6,clear sky,22.58
6,Mont Saint Michel,48.6359541,-1.511459954959514,7,scattered clouds,24.72
7,St Malo,48.649518,-2.0260409,1,overcast clouds,23.35
8,St Malo,48.649518,-2.0260409,2,broken clouds,20.71
9,St Malo,48.649518,-2.0260409,3,scattered clouds,23.63
10,St Malo,48.649518,-2.0260409,4,few clouds,24.77
11,St Malo,48.649518,-2.0260409,5,overcast clouds,19.98
12,St Malo,48.649518,-2.0260409,6,clear sky,18.52
13,St Malo,48.649518,-2.0260409,7,few clouds,21.29
14,Bayeux,49.2764624,-0.7024738,1,broken clouds,20.8
15,Bayeux,49.2764624,-0.7024738,2,broken clouds,23.05
16,Bayeux,49.2764624,-0.7024738,3,scattered clouds,28.19
17,Bayeux,49.2764624,-0.7024738,4,broken clouds,27.73
18,Bayeux,49.2764624,-0.7024738,5,light rain,22.3
19,Bayeux,49.2764624,-0.7024738,6,clear sky,18.31
20,Bayeux,49.2764624,-0.7024738,7,broken clouds,22.81
21,Le Havre,49.4938975,0.1079732,1,overcast clouds,20.91
22,Le Havre,49.4938975,0.1079732,2,overcast clouds,20.46
23,Le Havre,49.4938975,0.1079732,3,broken clouds,22.62
24,Le Havre,49.4938975,0.1079732,4,scattered clouds,24.7
25,Le Havre,49.4938975,0.1079732,5,light rain,19.49
26,Le Havre,49.4938975,0.1079732,6,clear sky,17.41
27,Le Havre,49.4938975,0.1079732,7,overcast clouds,20.78
28,Rouen,49.4404591,1.0939658,1,overcast clouds,22.0
29,Rouen,49.4404591,1.0939658,2,overcast clouds,27.31
30,Rouen,49.4404591,1.0939658,3,broken clouds,28.97
31,Rouen,49.4404591,1.0939658,4,few clouds,33.25
32,Rouen,49.4404591,1.0939658,5,light rain,26.41
33,Rouen,49.4404591,1.0939658,6,clear sky,22.05
34,Rouen,49.4404591,1.0939658,7,broken clouds,26.58
35,Paris,48.8588897,2.3200410217200766,1,few clouds,27.32
36,Paris,48.8588897,2.3200410217200766,2,overcast clouds,26.52
37,Paris,48.8588897,2.3200410217200766,3,scattered clouds,27.57
38,Paris,48.8588897,2.3200410217200766,4,clear sky,33.59
39,Paris,48.8588897,2.3200410217200766,5,light rain,27.98
40,Paris,48.8588897,2.3200410217200766,6,clear sky,23.91
41,Paris,48.8588897,2.3200410217200766,7,clear sky,26.65
